rank,wallet,bones,added,,last updated 2023-04-03T17:13:28.537Z
2,5EDTCXugermuX4V9XxxgykYmaMicBvXGtWKWXktSn72a,8046,7548
11,EkjqEAvjzQB1zncbQZvNYh9mKuqNCocsYZSrBjkXA6Xx,1620,1114
9,8kq1MjV5ogn6DnAn6EF2LQ7df42vRScfNSHXZcG5QdXf,1857,646
42,Y18nJ6K6fjhd2m4WUZ4iGLWnqn8D1V2Z33SRNTK1Ajw,482,116

rank,wallet,bones,removed
3,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,5739,-3639
163,9taQkHysREqoP9cTecnFZt6raDgPV5Fkf7KoaWpMT6CM,168,-102
168,DEAf6NEi9Xn8KaUKVc8RKnW5KdWEQmapwT16BgdaKVhn,160,-31
38,ED3N1JiRmXdqgtHP6GoZraECRDV6Az3diZAsthic5KVJ,495,-25
172,GEFZqqqHfLB5GWsKVBuoHiajzR6kPPgmdrLuJLcBB9bt,157,-20
63,DvYQw74yaEgs1YZNm5DYJ91NSKrWGh9dZHfhL5P2gshx,330,-17
